Brand,2024-Jan,2024-Feb,2024-Mar,2024-Apr,2024-May,2024-Jun,2024-Jul,2024-Aug,2024-Sep,2024-Oct,2024-Nov,2024-Dec,2025-Jan,2025-Feb,2025-Mar,2025-Apr,2025-May,2025-Jun,2025-Jul,2025-Aug,2025-Sep,2025-Oct,2025-Nov,2025-Dec,2026-Jan,2026-Feb,2026-Mar,2026-Apr,2026-May,2026-Jun,2026-Jul,2026-Aug,2026-Sep,2026-Oct,2026-Nov,2026-Dec
Adidas,Adidas Takumi Sen 10,Adidas Supernova Solution,Adidas Supernova Stride,Adidas Terrex Agravic Speed Ultra,Adidas adizero SL 2,"Adidas Supernova Prima,Adidas Terrex Agravic 3","Adidas Ultraboost 5X,Adidas Pureboost 5",,,Adidas Adizero EVO SL,Adidas Supernova Solution 2,"Adidas adios Pro 4,Adidas Supernova Rise V2",Adidas adios 9,,,,Adidas Boston 13,Adidas Prime X 3,Adidas Takumi Sen 11,,,Adidas adizero SL 3,Adidas Supernova Solution 3,"Adidas Pureboost 6,Adidas Ultraboost 6X,Adidas Supernova Rise V3",,Adidas adios Pro 5,"Adidas Terrex Agravic 4,Adidas adizero EVO SL 2",,,Adidas adios 10,,,Adidas Boston 14,,Adidas Prime X 4,
Altra,"Altra Lone Peak 8,Altra Timp 5",Altra Riviera 4,,Altra Escalante 4,,,Altra Olympus 6,,,,,Altra Lone Peak 9,,,,,Altra Experience Flow 2,,"Altra Timp 6,Altra Olympus 275",Altra Escalante 5,,,,Altra Lone Peak 10,,,,,,Altra Experience Flow 3,,,,,,
Asics,"Asics Nimbus 26,Asics Trabuco 12",,"Asics Cumulus 26,Asics Metaspeed Sky Paris,Asics Metaspeed Edge Paris",,"Asics Hyper Speed 4,Asics Kayano 31","Asics GT 1000 13,Asics Noosa Tri 16","Asics Superblast 2,Asics Magic Speed 4,Asics Metafuji Trail",,"Asics GT 2000 13,Asics Glideride Max",,,"Asics Novablast 5,Asics Dynablast 5","Asics Nimbus 27,Asics Trabuco 13",Asics Cumulus 27,,,,"Asics Kayano 32,Asics Excite 11,Asics GT 1000 14","Asics Hyper Speed 5,Asics Metafuji Trail V2,Asics Metaspeed Sky Tokyo,Asics Megablast,Asics Metaspeed Edge Tokyo,Asics Metaspeed Ray",Asics Noosa Tri 17,"Asics GT 2000 14,Asics Sonicblast,Asics Glideride Max 2",,,"Asics Novablast 6,Asics Dynablast 6","Asics Trabuco 14,Asics Nimbus 28,Asics Magic Speed 5",Asics Cumulus 28,Asics Superblast 3,,,"Asics Kayano 33,Asics Excite 12,Asics GT 1000 15",,,,,,
Brooks,"Brooks Catamount 3,Brooks Glycerin 21 GTS,Brooks Glycerin 21",,,Brooks Ghost 16,,Brooks Hyperion Max 2,"Brooks Hyperion 2,Brooks Hyperion 2 GTS,Brooks Cascadia 18","Brooks Ghost Max 2,Brooks Beast GTS 24",,Brooks Glycerin Max,"Brooks Adrenaline GTS 24,Brooks Ghost Max SE","Brooks Launch 11,Brooks Catamount 4","Brooks Caldera 8,Brooks Hyperion Elite 4 PB","Brooks Glycerin 22 GTS,Brooks Glycerin 22",,,Brooks Ghost 17,,"Brooks Hyperion Max 3,Brooks Hyperion Elite 5,Brooks Revel 8,Brooks Hyperion 3,Brooks Hyperion 3 GTS,Brooks Cascadia 19",Brooks Ghost Max 3,,Brooks Glycerin Max 2,"Brooks Adrenaline GTS 25,Brooks Ghost Max SE 2","Brooks Launch 12,Brooks Catamount 5",Brooks Caldera 9,"Brooks Glycerin 23,Brooks Glycerin 23 GTS",,,Brooks Ghost 18,,,,,,,
Hoka,Hoka Arahi 7,,Hoka Mach 6,Hoka Skyward X,Hoka Speedgoat 6,Hoka Skyflow,Hoka Rincon 4,Hoka Tecton X 3,Hoka Mach X 2,,,,Hoka Bondi 9,Hoka Cielo X1 2.0,,Hoka Clifton 10,Hoka Mafate X,,"Hoka Arahi 8,Hoka Challenger 8,Hoka Rocket X3,Hoka Stinson 8",Hoka Carbon Mach 7,Hoka Mach X3,,,Hoka Skyward X2,,,"Hoka Tecton X4,Hoka Speedgoat 7,Hoka Skyflow 2,Hoka Rincon 5",Hoka Cielo X1 3.0,,Hoka Bondi 10,,Hoka Clifton 11,,Hoka Mafate X2,,
Mizuno,"Mizuno Wave Inspire 20,Mizuno Wave Rebellion Flash 2,Mizuno Wave Rebellion Pro 2",,Mizuno Wave Horizon 7,,,"Mizuno Wave Rider 28,Mizuno Wave Sky 8",Mizuno Neo Vista,,,,,Mizuno Neo Zen,"Mizuno Wave Inspire 21,Mizuno Wave Rebellion Pro 3",,Mizuno Wave Horizon 8,,,"Mizuno Neo Vista 2,Mizuno Wave Rider 29",,Mizuno Wave Sky 9,,,,,"Mizuno Wave Inspire 22,Mizuno Wave Rebellion Pro 4",Mizuno Neo Zen 2,,,,Mizuno Wave Rider 30,,Mizuno Neo Vista 3,,,,
New Balance,"New Balance Supercomp Trail,New Balance 880 V14","New Balance SC Elite V4,New Balance Rebel V4","New Balance Summit Unknown V4.,New Balance Hierro V8",,"New Balance 860 14,New Balance Propel 5",New Balance Fresh Foam More V5,"New Balance Supercomp Trail,New Balance Supercomp Pacer 2,New Balance SC (Supercomp) Trainer 3",New Balance Fresh Foam Balos,,New Balance 1080v14,,,New Balance 880 V15,New Balance Hierro V9,,,,New Balance Fuelcell Rebel 5,"New Balance Fresh Foam More V6,New Balance Supercomp Trail 2,New Balance SC Elite 5,New Balance Propel 6,New Balance Vongo 7,New Balance 860 V15,New Balance Supercomp Pacer 3,New Balance SC (Supercomp) Trainer 4",New Balance Fresh Foam Balos V2,,"New Balance Supercomp Trail 2,New Balance 1080 V15",,,New Balance 880 V16,New Balance Hierro V10,,,New Balance Ellipse,,New Balance Fuelcell Rebel 6,,,,,
Nike,"Nike Alphafly 3,Nike Downshifter 13",,,Nike Winflo 11,"Nike ZoomX Zegama Trail 2,Nike Pegasus Trail 5",Nike Pegasus 41,,Nike Pegasus Plus (Pegasus Turbo 4),"Nike Rival Fly 4,Nike Quest 6",Nike Pegasus 41 Gore-Tex,Nike Zoom Fly 6,,,"Nike Vomero 18,Nike Pegasus Premium","Nike Streakfly 2,Nike Terra Kiger 10,Nike Vaporfly 4",Nike Wildhorse 10,Nike Revolution 8,,"Nike Structure 26,Nike Flex Experience 13,Nike Winflo 12,Nike Ultrafly 2,Nike Downshifter 14","Nike Pegasus Trail 6,Nike Vomero Plus,Nike Pegasus Plus 2,Nike Zegama 3","Nike Rival Fly 5,Nike Quest 7","Nike Vomero Premium,Nike Pegasus 42,Nike Pegasus 42 Gore-Tex",,,Nike Alphafly 4,,Nike Vomero 19,"Nike Pegasus Premium 2.0,Nike Zoom Fly 7,Nike Wildhorse 11",Nike Revolution 9,,,,,,,
ON,,ON Cloudmonster 2,,,,,ON Cloudboom Strike,,,,,,,ON Cloudsurfer 2,,,,,"ON Cloudultra Pro,ON Cloudsurfer Max,ON Cloudultra 3",ON Cloudboom Max,,ON Cloud Monster 3,,,,ON Cloudsurfer 3,ON Cloudboom Strike 2,,,,,,,,,
Puma,Puma Velocity Nitro 3,,Puma Fast-R Nitro Elite V2,,,Puma Deviate Nitro Elite 3,Puma Deviate Nitro 3,Puma MagMax Nitro,,,,,,,,,,,Puma Magnify Nitro 3,Puma Velocity Nitro 4,Puma Deviate Nitro 4,,,,,Puma Deviate Nitro Elite 4,Puma MagMax Nitro 2,,,,,,,,,
